[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | WARNING] Notebook 1_Row_vs_Col_Major.ipynb is not trusted
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] 302 GET /notebooks/Figures/Row-major-layout.png (172.17.0.1) 5.71ms
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:0a20f7a5141948538282ae79929f7ab3
[NotebookApp | WARNING] Notebook 1_Row_vs_Col_Major.ipynb is not trusted
[NotebookApp | INFO] 302 GET /notebooks/Figures/Row-major-layout.png (172.17.0.1) 12.24ms
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Restoring connection for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Restoring connection for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Restoring connection for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Restoring connection for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:55fd542fba384de68b29375d8a716204
[NotebookApp | WARNING] Notebook 1_Row_vs_Col_Major.ipynb is not trusted
[NotebookApp | INFO] 302 GET /notebooks/Figures/Row-major-layout.png (172.17.0.1) 5.06ms
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:0dc102a074314549a0216e57ed9455f0
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Restoring connection for 26500f5d-6e06-4fb8-81df-278bdaf46339:0dc102a074314549a0216e57ed9455f0
[NotebookApp | INFO] Starting buffering for 26500f5d-6e06-4fb8-81df-278bdaf46339:0dc102a074314549a0216e57ed9455f0
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 26500f5d-6e06-4fb8-81df-278bdaf46339
[NotebookApp | INFO] Restoring connection for 26500f5d-6e06-4fb8-81df-278bdaf46339:0dc102a074314549a0216e57ed9455f0
[NotebookApp | INFO] 302 GET / (172.17.0.1) 0.86ms
[NotebookApp | INFO] 302 GET / (172.17.0.1) 0.72ms
[NotebookApp | INFO] Kernel shutdown: 26500f5d-6e06-4fb8-81df-278bdaf46339
